restaurant_name,link,price_class,price_range,category,michelin,ranking,avg_rating,food_rating,service_rating,value_rating,atmosphere_rating,review_count,rate5_count,rate4_count,rate3_count,rate2_count,rate1_count
Chez Joel,https://www.tripadvisor.com/Restaurant_Review-g35805-d428852-Reviews-Chez_Joel-Chicago_Illinois.html,2.5,"[31, 40]","['French', 'European', 'Vegetarian Friendly']",TRUE,218,4,4.5,4.5,4,4,165,110,39,9,5,1
The Rosebud,https://www.tripadvisor.com/Restaurant_Review-g35805-d428856-Reviews-The_Rosebud-Chicago_Illinois.html,2.5,"[30, 40]","['Italian', 'Vegetarian Friendly', 'Gluten Free Options']",TRUE,220,4,4,4.5,4,4,350,177,95,37,24,11
Tufanos Vernon Park Tap,https://www.tripadvisor.com/Restaurant_Review-g35805-d428855-Reviews-Tufanos_Vernon_Park_Tap-Chicago_Illinois.html,2.5,"[21, 30]","['Italian', 'Vegetarian Friendly', 'Vegan Options']",FALSE,244,4,4.5,4.5,4.5,4.5,155,86,47,17,5,0
Sweet Maple Cafe,https://www.tripadvisor.com/Restaurant_Review-g35805-d542653-Reviews-Sweet_Maple_Cafe-Chicago_Illinois.html,2.5,[],"['American', 'Cafe', 'Vegetarian Friendly']",FALSE,327,4,4.5,4.5,4,4,130,70,42,7,5,1
Mario's Italian Lemonade,https://www.tripadvisor.com/Restaurant_Review-g35805-d5566222-Reviews-Mario_s_Italian_Lemonade-Chicago_Illinois.html,1,[],"['Dessert', 'Italian']",FALSE,24,5,NA,NA,NA,NA,61,51,7,1,0,0
Tuscany on Taylor,https://www.tripadvisor.com/Restaurant_Review-g35805-d480265-Reviews-Tuscany_on_Taylor-Chicago_Illinois.html,2.5,"[20, 40]","['Italian', 'Vegetarian Friendly', 'Gluten Free Options']",FALSE,398,4,4,4.5,4,4,204,102,58,17,9,9
Stax Cafe,https://www.tripadvisor.com/Restaurant_Review-g35805-d3802776-Reviews-Stax_Cafe-Chicago_Illinois.html,2.5,[],"['American', 'Cafe', 'Vegetarian Friendly']",FALSE,471,4,4.5,4.5,4.5,4.5,74,33,29,5,2,0
Jim's Original Hot Dog,https://www.tripadvisor.com/Restaurant_Review-g35805-d1030652-Reviews-Jim_s_Original_Hot_Dog-Chicago_Illinois.html,1,"[5, 10]","['Quick Bites', 'American', 'Fast Food']",FALSE,94,4,4.5,4.5,4.5,4.5,81,44,24,6,0,2
Al's  1 Italian Beef,https://www.tripadvisor.com/Restaurant_Review-g35805-d479989-Reviews-Al_s_1_Italian_Beef-Chicago_Illinois.html,1,[],"['Quick Bites', 'American', 'Fast Food']",FALSE,113,4,4.5,4,4,4,212,98,48,30,14,13
Pompei,https://www.tripadvisor.com/Restaurant_Review-g35805-d428857-Reviews-Pompei-Chicago_Illinois.html,2.5,[],"['Quick Bites', 'Italian', 'Pizza']",FALSE,154,4,4,4,4,4,127,54,36,22,7,6
Hashbrowns,https://www.tripadvisor.com/Restaurant_Review-g35805-d900564-Reviews-Hashbrowns-Chicago_Illinois.html,2.5,[],"['American', 'Cafe', 'Vegetarian Friendly']",FALSE,1,4,4.5,4,4,4,60,16,26,10,4,2
Chilango,https://www.tripadvisor.com/Restaurant_Review-g35805-d7291401-Reviews-Chilango-Chicago_Illinois.html,1,[],"['Quick Bites', 'Mexican', 'Latin']",FALSE,210,4,NA,NA,NA,NA,29,17,6,3,0,1
La Taberna Tapas on Halsted,https://www.tripadvisor.com/Restaurant_Review-g35805-d2057124-Reviews-La_Taberna_Tapas_on_Halsted-Chicago_Illinois.html,2.5,"[12, 28]",['Spanish'],FALSE,1,4,4.5,4,4,4,43,20,20,0,1,2
Lotus Cafe & Banh Mi Sandwiches,https://www.tripadvisor.com/Restaurant_Review-g35805-d3929967-Reviews-Lotus_Cafe_Banh_Mi_Sandwiches-Chicago_Illinois.html,1,[],"['Quick Bites', 'Vietnamese']",FALSE,251,5,NA,NA,NA,NA,14,11,3,0,0,0
Hawkeye's Bar & Grill,https://www.tripadvisor.com/Restaurant_Review-g35805-d428868-Reviews-Hawkeye_s_Bar_Grill-Chicago_Illinois.html,2.5,[],"['American', 'Bar', 'Pub']",FALSE,783,3,3.5,4,4,4,60,10,26,17,6,1
Conte Di Savoia,https://www.tripadvisor.com/Restaurant_Review-g35805-d428893-Reviews-Conte_Di_Savoia-Chicago_Illinois.html,2.5,[],"['Specialty Food Market', 'Italian', 'European']",FALSE,9,4,NA,NA,NA,NA,19,10,8,0,0,0
Busy Burger,https://www.tripadvisor.com/Restaurant_Review-g35805-d3700134-Reviews-Busy_Burger-Chicago_Illinois.html,1,[],"['Quick Bites', 'American', 'Fast Food']",FALSE,271,4,NA,NA,NA,NA,20,13,3,1,1,1
Carm's Beef & Italian Ice,https://www.tripadvisor.com/Restaurant_Review-g35805-d4199450-Reviews-Carm_s_Beef_Italian_Ice-Chicago_Illinois.html,1,[],"['Quick Bites', 'Italian']",FALSE,290,5,NA,NA,NA,NA,12,9,3,0,0,0
Jade Court Chinese Cuisine,https://www.tripadvisor.com/Restaurant_Review-g35805-d11837853-Reviews-Jade_Court_Chinese_Cuisine-Chicago_Illinois.html,2.5,[],"['Chinese', 'Asian', 'Cantonese']",FALSE,1,4,NA,NA,NA,NA,23,8,10,3,1,1
Fontano Foods,https://www.tripadvisor.com/Restaurant_Review-g35805-d794681-Reviews-Fontano_Foods-Chicago_Illinois.html,1,"[5, 10]",['Italian'],FALSE,1,4,NA,NA,NA,NA,17,12,3,1,1,0
Yummy Thai,https://www.tripadvisor.com/Restaurant_Review-g35805-d4195192-Reviews-Yummy_Thai-Chicago_Illinois.html,2.5,[],"['Asian', 'Thai']",FALSE,1,4,NA,NA,NA,NA,15,8,3,0,2,0
Ghareeb Nawaz UIC,https://www.tripadvisor.com/Restaurant_Review-g35805-d5102759-Reviews-Ghareeb_Nawaz_UIC-Chicago_Illinois.html,1,[],"['Indian', 'Asian', 'Middle Eastern']",FALSE,1,3,NA,NA,NA,NA,21,2,12,6,1,0
Express Grill,https://www.tripadvisor.com/Restaurant_Review-g35805-d1019877-Reviews-Express_Grill-Chicago_Illinois.html,1,"[5, 10]","['Quick Bites', 'American', 'Polish']",FALSE,334,4,NA,NA,NA,NA,13,10,2,0,1,0
Golden Thai,https://www.tripadvisor.com/Restaurant_Review-g35805-d1064777-Reviews-Golden_Thai-Chicago_Illinois.html,1,"[10, 15]","['Asian', 'Thai']",FALSE,1,4,NA,NA,NA,NA,17,5,9,1,0,2
Rooks Corner UIC,https://www.tripadvisor.com/Restaurant_Review-g35805-d4288791-Reviews-Rooks_Corner_UIC-Chicago_Illinois.html,2.5,"[7, 30]","['American', 'Bar', 'Pub']",FALSE,1,4,NA,NA,NA,NA,15,3,8,2,1,0
Thai Bowl,https://www.tripadvisor.com/Restaurant_Review-g35805-d521335-Reviews-Thai_Bowl-Chicago_Illinois.html,2.5,[],"['Asian', 'Thai', 'Vegetarian Friendly']",FALSE,2,3,NA,NA,NA,NA,26,7,5,8,4,2
De Pasada,https://www.tripadvisor.com/Restaurant_Review-g35805-d428890-Reviews-De_Pasada-Chicago_Illinois.html,1,[],['Mexican'],FALSE,183,4,NA,NA,NA,NA,13,3,6,2,2,0
Scafuri Bakery,https://www.tripadvisor.com/Restaurant_Review-g35805-d4404662-Reviews-Scafuri_Bakery-Chicago_Illinois.html,1,[],"['Bakeries', 'Italian', 'European']",FALSE,108,3,NA,NA,NA,NA,20,9,3,2,1,4
Kohan Japanese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d778270-Reviews-Kohan_Japanese_Restaurant-Chicago_Illinois.html,2.5,"[5, 25]","['Japanese', 'Steakhouse', 'Sushi']",FALSE,139,3,NA,NA,NA,NA,10,1,2,6,0,0
Volcano Sushi Cafe,https://www.tripadvisor.com/Restaurant_Review-g35805-d428864-Reviews-Volcano_Sushi_Cafe-Chicago_Illinois.html,2.5,"[30, 30]","['Japanese', 'Sushi', 'Asian']",FALSE,163,3,NA,NA,NA,NA,13,1,3,4,2,2
